"HPO","Ancestors","definition"
"HP:0010537","HP:0010537;HP:0011329;HP:0000235;HP:0002683;HP:0000929;HP:0000234;HP:0000152;HP:0000118;HP:0000001;HP:0009121;HP:0011842;HP:0000924","Wide cranial sutures"
"HP:0010538","HP:0010538;HP:0002679;HP:0000929;HP:0000234;HP:0000152;HP:0000118;HP:0000001;HP:0009121;HP:0011842;HP:0000924","Small sella turcica"
"HP:0010539","HP:0010539;HP:0002683;HP:0000929;HP:0000234;HP:0000152;HP:0000118;HP:0000001;HP:0009121;HP:0011842;HP:0000924","Thin calvarium"
"HP:0010540","HP:0010540;HP:0000245;HP:0011821;HP:0000929;HP:0000234;HP:0000152;HP:0000118;HP:0000001;HP:0009121;HP:0011842;HP:0000924","Advanced pneumatization of cranial sinuses"
"HP:0010541","HP:0010541;HP:0001965;HP:0000234;HP:0000152;HP:0000118;HP:0000001;HP:0011356;HP:0011121;HP:0000951;HP:0001574","Cutis gyrata of scalp"
"HP:0010542","HP:0010542;HP:0000639;HP:0012547;HP:0000496;HP:0012373;HP:0000478;HP:0000118;HP:0000001;HP:0009591;HP:0001291;HP:0000759;HP:0012639;HP:0000707","Vestibular nystagmus"
"HP:0010543","HP:0010543;HP:0012547;HP:0000496;HP:0012373;HP:0000478;HP:0000118;HP:0000001","Opsoclonus"
"HP:0010544","HP:0010544;HP:0000639;HP:0012547;HP:0000496;HP:0012373;HP:0000478;HP:0000118;HP:0000001","Vertical nystagmus"
"HP:0010545","HP:0010545;HP:0010544;HP:0000639;HP:0012547;HP:0000496;HP:0012373;HP:0000478;HP:0000118;HP:0000001","Downbeat nystagmus"
"HP:0010546","HP:0010546;HP:0100022;HP:0012638;HP:0000707;HP:0000118;HP:0000001","Muscle fibrillation"
"HP:0010547","HP:0010547;HP:0001324;HP:0011804;HP:0003011;HP:0000118;HP:0000001","Muscle flaccidity"
"HP:0010548","HP:0010548;HP:0002486;HP:0011804;HP:0003011;HP:0000118;HP:0000001","Percussion myotonia"
"HP:0010549","HP:0010549;HP:0002493;HP:0011442;HP:0012638;HP:0000707;HP:0000118;HP:0000001","Weakness due to upper motor neuron dysfunction"
"HP:0010550","HP:0010550;HP:0010551;HP:0010549;HP:0002493;HP:0011442;HP:0012638;HP:0000707;HP:0000118;HP:0000001","Paraplegia"
"HP:0010551","HP:0010551;HP:0010549;HP:0002493;HP:0011442;HP:0012638;HP:0000707;HP:0000118;HP:0000001","Paraplegia/paraparesis"
"HP:0010553","HP:0010553;HP:0001332;HP:0100022;HP:0012638;HP:0000707;HP:0000118;HP:0000001","Oculogyric crisis"
"HP:0010554","HP:0010554;HP:0006101;HP:0001159;HP:0011297;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0000118;HP:0000001;HP:0040068;HP:0040064;HP:0012725","Cutaneous finger syndactyly"
"HP:0010557","HP:0010557;HP:0004097;HP:0001167;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0011297;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068;HP:0009484;HP:0005922","Overlapping fingers"
"HP:0010558","HP:0010558;HP:0000932;HP:0002693;HP:0000929;HP:0000234;HP:0000152;HP:0000118;HP:0000001;HP:0009121;HP:0011842;HP:0000924","Abnormality of the clivus"
"HP:0010559","HP:0010559;HP:0010558;HP:0000932;HP:0002693;HP:0000929;HP:0000234;HP:0000152;HP:0000118;HP:0000001;HP:0009121;HP:0011842;HP:0000924","Vertical clivus"
"HP:0010560","HP:0010560;HP:0000889;HP:0000765;HP:0009121;HP:0011842;HP:0000924;HP:0000118;HP:0000001","Undulate clavicles"
"HP:0010561","HP:0010561;HP:0000772;HP:0001547;HP:0000765;HP:0009121;HP:0011842;HP:0000924;HP:0000118;HP:0000001","Undulate ribs"
"HP:0010562","HP:0010562;HP:0000987;HP:0011355;HP:0011121;HP:0000951;HP:0001574;HP:0000118;HP:0000001;HP:0100699;HP:0003549","Keloids"
"HP:0010564","HP:0010564;HP:0005483;HP:0025423;HP:0001600;HP:0002087;HP:0012252;HP:0002086;HP:0000118;HP:0000001","Bifid epiglottis"
"HP:0010565","HP:0010565;HP:0005483;HP:0025423;HP:0001600;HP:0002087;HP:0012252;HP:0002086;HP:0000118;HP:0000001","Aplasia/Hypoplasia of the Epiglottis"
"HP:0010566","HP:0010566;HP:0011792;HP:0002664;HP:0000118;HP:0000001","Hamartoma"
"HP:0010567","HP:0010567;HP:0001832;HP:0001760;HP:0002814;HP:0040064;HP:0000118;HP:0000001;HP:0040069;HP:0040068;HP:0000924","Y-shaped metatarsals"
"HP:0010568","HP:0010568;HP:0010566;HP:0011792;HP:0002664;HP:0000118;HP:0000001;HP:0030670;HP:0000315;HP:0000271;HP:0000234;HP:0000152;HP:0100012;HP:0011793;HP:0012372;HP:0000478","Hamartoma of the eye"
"HP:0010569","HP:0010569;HP:0003107;HP:0003119;HP:0001939;HP:0000118;HP:0000001","Elevated 7-dehydrocholesterol"
"HP:0010570","HP:0010570;HP:0011436;HP:0002686;HP:0001197;HP:0000118;HP:0000001","Low maternal serum alpha-fetoprotein"
"HP:0010571","HP:0010571;HP:0010965;HP:0010964;HP:0004359;HP:0003119;HP:0001939;HP:0000118;HP:0000001","Elevated levels of phytanic acid"
"HP:0010574","HP:0010574;HP:0003368;HP:0003366;HP:0002823;HP:0040066;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0000118;HP:0000001;HP:0040068;HP:0040064;HP:0040069;HP:0002814;HP:0006499;HP:0006500;HP:0006505;HP:0005930;HP:0011314","Abnormality of the epiphysis of the femoral head"
"HP:0010575","HP:0010575;HP:0003368;HP:0003366;HP:0002823;HP:0040066;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0000118;HP:0000001;HP:0040068;HP:0040064;HP:0040069;HP:0002814","Dysplasia of the femoral head"
"HP:0010576","HP:0010576;HP:0030724;HP:0002011;HP:0012639;HP:0000707;HP:0000118;HP:0000001","Intracranial cystic lesion"
"HP:0010577","HP:0010577;HP:0005930;HP:0011314;HP:0011844;HP:0011842;HP:0000924;HP:0000118;HP:0000001","Absent epiphyses"
"HP:0010578","HP:0010578;HP:0005930;HP:0011314;HP:0011844;HP:0011842;HP:0000924;HP:0000118;HP:0000001","Bracket epiphyses"
"HP:0010579","HP:0010579;HP:0005930;HP:0011314;HP:0011844;HP:0011842;HP:0000924;HP:0000118;HP:0000001","Cone-shaped epiphysis"
"HP:0010580","HP:0010580;HP:0005930;HP:0011314;HP:0011844;HP:0011842;HP:0000924;HP:0000118;HP:0000001","Enlarged epiphyses"
"HP:0010582","HP:0010582;HP:0005930;HP:0011314;HP:0011844;HP:0011842;HP:0000924;HP:0000118;HP:0000001","Irregular epiphyses"
"HP:0010583","HP:0010583;HP:0005930;HP:0011314;HP:0011844;HP:0011842;HP:0000924;HP:0000118;HP:0000001","Ivory epiphyses"
"HP:0010584","HP:0010584;HP:0005930;HP:0011314;HP:0011844;HP:0011842;HP:0000924;HP:0000118;HP:0000001","Pseudoepiphyses"
"HP:0010585","HP:0010585;HP:0005930;HP:0011314;HP:0011844;HP:0011842;HP:0000924;HP:0000118;HP:0000001","Small epiphyses"
"HP:0010587","HP:0010587;HP:0005930;HP:0011314;HP:0011844;HP:0011842;HP:0000924;HP:0000118;HP:0000001","Triangular epiphyses"
"HP:0010588","HP:0010588;HP:0005930;HP:0011314;HP:0011844;HP:0011842;HP:0000924;HP:0000118;HP:0000001","Premature epimetaphyseal fusion"
"HP:0010590","HP:0010590;HP:0006499;HP:0002823;HP:0040066;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0000118;HP:0000001;HP:0040068;HP:0040064;HP:0040069;HP:0002814;HP:0006500;HP:0006505;HP:0005930;HP:0011314","Abnormality of the distal femoral epiphysis"
"HP:0010591","HP:0010591;HP:0006508;HP:0002992;HP:0002981;HP:0002814;HP:0040064;HP:0000118;HP:0000001;HP:0040066;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068;HP:0040069;HP:0006500;HP:0006505;HP:0005930;HP:0011314","Abnormality of the proximal tibial epiphysis"
"HP:0010592","HP:0010592;HP:0006508;HP:0002992;HP:0002981;HP:0002814;HP:0040064;HP:0000118;HP:0000001;HP:0040066;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068;HP:0040069;HP:0006500;HP:0006505;HP:0005930;HP:0011314","Abnormality of the distal tibial epiphysis"
"HP:0010593","HP:0010593;HP:0006500;HP:0002814;HP:0040064;HP:0000118;HP:0000001;HP:0006505;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068;HP:0005930;HP:0011314","Abnormality of fibular epiphyses"
"HP:0010594","HP:0010594;HP:0010593;HP:0006500;HP:0002814;HP:0040064;HP:0000118;HP:0000001;HP:0006505;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068;HP:0005930;HP:0011314","Abnormality of the proximal fibular epiphysis"
"HP:0010595","HP:0010595;HP:0010593;HP:0006500;HP:0002814;HP:0040064;HP:0000118;HP:0000001;HP:0006505;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068;HP:0005930;HP:0011314","Abnormality of the distal fibular epiphysis"
"HP:0010596","HP:0010596;HP:0003946;HP:0003839;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0006505;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068;HP:0005930;HP:0011314;HP:0009811;HP:0009810;HP:0001367;HP:0003999;HP:0002818;HP:0040072;HP:0002973;HP:0040070","Abnormality of the proximal radial epiphysis"
"HP:0010597","HP:0010597;HP:0003999;HP:0002818;HP:0040072;HP:0002973;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0040070;HP:0040068;HP:0000924;HP:0003839;HP:0006505;HP:0002813;HP:0011844;HP:0011842;HP:0005930;HP:0011314","Abnormality of the distal radial epiphysis"
"HP:0010598","HP:0010598;HP:0003891;HP:0003063;HP:0001454;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0040070;HP:0040068;HP:0000924;HP:0003839;HP:0006505;HP:0002813;HP:0011844;HP:0011842;HP:0005930;HP:0011314","Abnormality of the proximal humeral epiphysis"
"HP:0010599","HP:0010599;HP:0003891;HP:0003063;HP:0001454;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0040070;HP:0040068;HP:0000924;HP:0003839;HP:0006505;HP:0002813;HP:0011844;HP:0011842;HP:0005930;HP:0011314;HP:0003946;HP:0009811;HP:0009810;HP:0001367","Abnormality of the distal humeral epiphysis"
"HP:0010600","HP:0010600;HP:0004037;HP:0002997;HP:0040072;HP:0002973;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0040070;HP:0040068;HP:0000924;HP:0003839;HP:0006505;HP:0002813;HP:0011844;HP:0011842;HP:0005930;HP:0011314","Abnormality of the distal ulnar epiphysis"
"HP:0010601","HP:0010601;HP:0003946;HP:0003839;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0006505;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068;HP:0005930;HP:0011314;HP:0009811;HP:0009810;HP:0001367;HP:0004037;HP:0002997;HP:0040072;HP:0002973;HP:0040070","Abnormality of the proximal ulnar epiphysis"
"HP:0010602","HP:0010602;HP:0004303;HP:0011805;HP:0003011;HP:0000118;HP:0000001","Type 2 muscle fiber predominance"
"HP:0010603","HP:0010603;HP:0100612;HP:0000164;HP:0000163;HP:0000153;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001;HP:0100649;HP:0011793;HP:0002664","Odontogenic keratocysts of the jaw"
"HP:0010604","HP:0010604;HP:0010732;HP:0000492;HP:0030669;HP:0000315;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001;HP:0200036;HP:0011355;HP:0011121;HP:0000951;HP:0001574;HP:0200040;HP:0025245","Cyst of the eyelid"
"HP:0010605","HP:0010605;HP:0010604;HP:0010732;HP:0000492;HP:0030669;HP:0000315;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001;HP:0200036;HP:0011355;HP:0011121;HP:0000951;HP:0001574;HP:0200040;HP:0025245","Chalazion"
"HP:0010606","HP:0010606;HP:0010732;HP:0000492;HP:0030669;HP:0000315;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001;HP:0200036;HP:0011355;HP:0011121;HP:0000951;HP:0001574","Hordeolum"
"HP:0010607","HP:0010607;HP:0010606;HP:0010732;HP:0000492;HP:0030669;HP:0000315;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001;HP:0200036;HP:0011355;HP:0011121;HP:0000951;HP:0001574","Hordeolum externum"
"HP:0010608","HP:0010608;HP:0010606;HP:0010732;HP:0000492;HP:0030669;HP:0000315;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001;HP:0200036;HP:0011355;HP:0011121;HP:0000951;HP:0001574","Hordeolum internum"
"HP:0010609","HP:0010609;HP:0011355;HP:0011121;HP:0000951;HP:0001574;HP:0000118;HP:0000001","Skin tags"
"HP:0010610","HP:0010610;HP:0040211;HP:0011356;HP:0011121;HP:0000951;HP:0001574;HP:0000118;HP:0000001;HP:0100871;HP:0001155;HP:0002817;HP:0040064;HP:0100276;HP:0011355","Palmar pits"
"HP:0010612","HP:0010612;HP:0100276;HP:0011355;HP:0011121;HP:0000951;HP:0001574;HP:0000118;HP:0000001;HP:0100872;HP:0001760;HP:0002814;HP:0040064;HP:0011356","Plantar pits"
"HP:0010614","HP:0010614;HP:0012316;HP:0011792;HP:0002664;HP:0000118;HP:0000001;HP:0030448;HP:0100242","Fibroma"
"HP:0010615","HP:0010615;HP:0010614;HP:0012316;HP:0011792;HP:0002664;HP:0000118;HP:0000001;HP:0030448;HP:0100242","Angiofibromas"
"HP:0010616","HP:0010616;HP:0010614;HP:0012316;HP:0011792;HP:0002664;HP:0000118;HP:0000001;HP:0030448;HP:0100242;HP:0100526;HP:0002088;HP:0012252;HP:0002086;HP:0100606;HP:0011793","Lung fibroma"
"HP:0010617","HP:0010617;HP:0010614;HP:0012316;HP:0011792;HP:0002664;HP:0000118;HP:0000001;HP:0030448;HP:0100242;HP:0100544;HP:0001627;HP:0030680;HP:0001626;HP:0011793","Cardiac fibroma"
"HP:0010618","HP:0010618;HP:0010614;HP:0012316;HP:0011792;HP:0002664;HP:0000118;HP:0000001;HP:0030448;HP:0100242;HP:0100615;HP:0000137;HP:0000008;HP:0000812;HP:0012243;HP:0000078;HP:0000119;HP:0010460;HP:0010785;HP:0010787;HP:0007379;HP:0011793","Ovarian fibroma"
"HP:0010619","HP:0010619;HP:0010614;HP:0012316;HP:0011792;HP:0002664;HP:0000118;HP:0000001;HP:0030448;HP:0100242;HP:0100013;HP:0011793;HP:0031093;HP:0000769","Fibroadenoma of the breast"
"HP:0010620","HP:0010620;HP:0012369;HP:0000309;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001;HP:0010668;HP:0011821;HP:0000929;HP:0009121;HP:0011842;HP:0000924","Malar prominence"
"HP:0010621","HP:0010621;HP:0001770;HP:0001159;HP:0011297;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0000118;HP:0000001;HP:0040068;HP:0040064;HP:0001780;HP:0001760;HP:0002814;HP:0012725","Cutaneous syndactyly of toes"
"HP:0010622","HP:0010622;HP:0011793;HP:0002664;HP:0000118;HP:0000001;HP:0011842;HP:0000924","Neoplasm of the skeletal system"
"HP:0010624","HP:0010624;HP:0008386;HP:0001597;HP:0011138;HP:0001574;HP:0000118;HP:0000001;HP:0008388","Aplastic/hypoplastic toenail"
"HP:0010625","HP:0010625;HP:0011747;HP:0012503;HP:0000864;HP:0000818;HP:0000118;HP:0000001;HP:0012443;HP:0002011;HP:0012639;HP:0000707","Anterior pituitary dysgenesis"
"HP:0010626","HP:0010626;HP:0010625;HP:0011747;HP:0012503;HP:0000864;HP:0000818;HP:0000118;HP:0000001;HP:0012443;HP:0002011;HP:0012639;HP:0000707","Anterior pituitary agenesis"
"HP:0010627","HP:0010627;HP:0010625;HP:0011747;HP:0012503;HP:0000864;HP:0000818;HP:0000118;HP:0000001;HP:0012443;HP:0002011;HP:0012639;HP:0000707","Anterior pituitary hypoplasia"
"HP:0010628","HP:0010628;HP:0001324;HP:0011804;HP:0003011;HP:0000118;HP:0000001;HP:0006824;HP:0001291;HP:0000759;HP:0012639;HP:0000707;HP:0010827;HP:0030319;HP:0000301;HP:0011799;HP:0000271;HP:0000234;HP:0000152","Facial palsy"
"HP:0010629","HP:0010629;HP:0003103;HP:0003330;HP:0011842;HP:0000924;HP:0000118;HP:0000001;HP:0031095;HP:0003063;HP:0001454;HP:0002817;HP:0040064;HP:0040070;HP:0040068;HP:0011314;HP:0011844;HP:0040065;HP:0002813","Abnormal morphology of the cortex of the humerus"
"HP:0010630","HP:0010630;HP:0001832;HP:0001760;HP:0002814;HP:0040064;HP:0000118;HP:0000001;HP:0040069;HP:0040068;HP:0000924;HP:0010631;HP:0006500;HP:0006505;HP:0002813;HP:0011844;HP:0011842;HP:0005930;HP:0011314","Abnormality of metatarsal epiphysis"
"HP:0010631","HP:0010631;HP:0006500;HP:0002814;HP:0040064;HP:0000118;HP:0000001;HP:0006505;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068;HP:0005930;HP:0011314","Abnormality of the epiphyses of the feet"
"HP:0010632","HP:0010632;HP:0000458;HP:0004408;HP:0000366;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001;HP:0012638;HP:0000707","Total anosmia"
"HP:0010633","HP:0010633;HP:0000458;HP:0004408;HP:0000366;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001;HP:0012638;HP:0000707","Partial anosmia"
"HP:0010634","HP:0010634;HP:0004409;HP:0004408;HP:0000366;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001;HP:0012638;HP:0000707","Total hyposmia"
"HP:0010635","HP:0010635;HP:0004409;HP:0004408;HP:0000366;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001;HP:0012638;HP:0000707","Partial hyposmia"
"HP:0010636","HP:0010636;HP:0002060;HP:0100547;HP:0012443;HP:0002011;HP:0012639;HP:0000707;HP:0000118;HP:0000001","Schizencephaly"
"HP:0010637","HP:0010637;HP:0000502;HP:0030669;HP:0000315;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001;HP:0011034;HP:0001939","Conjunctival amyloidosis"
"HP:0010638","HP:0010638;HP:0010679;HP:0003155;HP:0004379;HP:0012379;HP:0001939;HP:0000118;HP:0000001","Elevated alkaline phosphatase of hepatic origin"
"HP:0010639","HP:0010639;HP:0010679;HP:0003155;HP:0004379;HP:0012379;HP:0001939;HP:0000118;HP:0000001","Elevated alkaline phosphatase of bone origin"
"HP:0010640","HP:0010640;HP:0000366;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001","Abnormality of the nasal cavity"
"HP:0010641","HP:0010641;HP:0010640;HP:0000366;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001","Abnormality of the midnasal cavity"
"HP:0010643","HP:0010643;HP:0010644;HP:0010641;HP:0010640;HP:0000366;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001","Midnasal atresia"
"HP:0010644","HP:0010644;HP:0010641;HP:0010640;HP:0000366;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001","Midnasal stenosis"
"HP:0010645","HP:0010645;HP:0010185;HP:0010173;HP:0006494;HP:0001760;HP:0002814;HP:0040064;HP:0000118;HP:0000001;HP:0006493;HP:0040069;HP:0040068;HP:0000924;HP:0045060;HP:0002813;HP:0011844;HP:0011842;HP:0009815;HP:0009115;HP:0010161;HP:0001780;HP:0011297;HP:0010182;HP:0010760;HP:0001991;HP:0010745;HP:0009817;HP:0009825","Aplasia of the distal phalanges of the toes"
"HP:0010646","HP:0010646;HP:0003319;HP:0000925;HP:0009121;HP:0011842;HP:0000924;HP:0000118;HP:0000001","Cervical spine instability"
"HP:0010647","HP:0010647;HP:0011121;HP:0000951;HP:0001574;HP:0000118;HP:0000001","Abnormal elasticity of skin"
"HP:0010648","HP:0010648;HP:0011121;HP:0000951;HP:0001574;HP:0000118;HP:0000001","Dermal translucency"
"HP:0010649","HP:0010649;HP:0000429;HP:0010938;HP:0000366;HP:0000271;HP:0000234;HP:0000152;HP:0000118;HP:0000001","Flat nasal alae"
"HP:0010650","HP:0010650;HP:0002692;HP:0011821;HP:0000929;HP:0000234;HP:0000152;HP:0000118;HP:0000001;HP:0009121;HP:0011842;HP:0000924;HP:0010756;HP:0010758;HP:0000326;HP:0030791","Hypoplasia of the premaxilla"
"HP:0010651","HP:0010651;HP:0002011;HP:0012639;HP:0000707;HP:0000118;HP:0000001","Abnormality of the meninges"
"HP:0010652","HP:0010652;HP:0010651;HP:0002011;HP:0012639;HP:0000707;HP:0000118;HP:0000001","Abnormality of the dura mater"
"HP:0010653","HP:0010653;HP:0010652;HP:0010651;HP:0002011;HP:0012639;HP:0000707;HP:0000118;HP:0000001","Abnormality of the falx cerebri"
"HP:0010654","HP:0010654;HP:0010653;HP:0010652;HP:0010651;HP:0002011;HP:0012639;HP:0000707;HP:0000118;HP:0000001","Aplasia of the falx cerebri"
"HP:0010655","HP:0010655;HP:0005930;HP:0011314;HP:0011844;HP:0011842;HP:0000924;HP:0000118;HP:0000001;HP:0010656;HP:0003336;HP:0011849;HP:0003330;HP:0010766","Epiphyseal stippling"
"HP:0010656","HP:0010656;HP:0003336;HP:0011849;HP:0003330;HP:0011842;HP:0000924;HP:0000118;HP:0000001","Abnormal epiphyseal ossification"
"HP:0010657","HP:0010657;HP:0002797;HP:0003330;HP:0011842;HP:0000924;HP:0000118;HP:0000001;HP:0004349;HP:0004348;HP:0011849;HP:0010658","Patchy reduction of bone mineral density"
"HP:0010658","HP:0010658;HP:0004348;HP:0011849;HP:0003330;HP:0011842;HP:0000924;HP:0000118;HP:0000001","Patchy changes of bone mineral density"
"HP:0010659","HP:0010659;HP:0004349;HP:0004348;HP:0011849;HP:0003330;HP:0011842;HP:0000924;HP:0000118;HP:0000001;HP:0010658","Patchy variation in bone mineral density"
"HP:0010660","HP:0010660;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0003336;HP:0011849;HP:0003330;HP:0011842;HP:0000924","Abnormal hand bone ossification"
"HP:0010661","HP:0010661;HP:0010951;HP:0002118;HP:0012443;HP:0002011;HP:0012639;HP:0000707;HP:0000118;HP:0000001","Absence of the third cerebral ventricle"
"HP:0010662","HP:0010662;HP:0100547;HP:0012443;HP:0002011;HP:0012639;HP:0000707;HP:0000118;HP:0000001","Abnormality of the diencephalon"
"HP:0010663","HP:0010663;HP:0010662;HP:0100547;HP:0012443;HP:0002011;HP:0012639;HP:0000707;HP:0000118;HP:0000001","Abnormality of thalamus morphology"
"HP:0010664","HP:0010664;HP:0010663;HP:0010662;HP:0100547;HP:0012443;HP:0002011;HP:0012639;HP:0000707;HP:0000118;HP:0000001","Fusion of the left and right thalami"
"HP:0010665","HP:0010665;HP:0002673;HP:0003367;HP:0003366;HP:0002823;HP:0040066;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0000118;HP:0000001;HP:0040068;HP:0040064;HP:0040069;HP:0002814","Bilateral coxa valga"
"HP:0010666","HP:0010666;HP:0000327;HP:0000326;HP:0030791;HP:0011821;HP:0000929;HP:0000234;HP:0000152;HP:0000118;HP:0000001;HP:0009121;HP:0011842;HP:0000924","Hypoplasia of the anterior nasal spine"
"HP:0010667","HP:0010667;HP:0000326;HP:0030791;HP:0011821;HP:0000929;HP:0000234;HP:0000152;HP:0000118;HP:0000001;HP:0009121;HP:0011842;HP:0000924;HP:0040008","Aplasia of the maxilla"
"HP:0010668","HP:0010668;HP:0011821;HP:0000929;HP:0000234;HP:0000152;HP:0000118;HP:0000001;HP:0009121;HP:0011842;HP:0000924","Abnormality of the zygomatic bone"
"HP:0010669","HP:0010669;HP:0002692;HP:0011821;HP:0000929;HP:0000234;HP:0000152;HP:0000118;HP:0000001;HP:0009121;HP:0011842;HP:0000924;HP:0010668","Hypoplasia of the zygomatic bone"
"HP:0010672","HP:0010672;HP:0001832;HP:0001760;HP:0002814;HP:0040064;HP:0000118;HP:0000001;HP:0040069;HP:0040068;HP:0000924","Abnormality of the third metatarsal bone"
"HP:0010674","HP:0010674;HP:0000925;HP:0009121;HP:0011842;HP:0000924;HP:0000118;HP:0000001","Abnormality of the curvature of the vertebral column"
"HP:0010675","HP:0010675;HP:0001760;HP:0002814;HP:0040064;HP:0000118;HP:0000001;HP:0003336;HP:0011849;HP:0003330;HP:0011842;HP:0000924","Abnormal foot bone ossification"
"HP:0010676","HP:0010676;HP:0002595;HP:0002579;HP:0030895;HP:0012719;HP:0011024;HP:0025031;HP:0000118;HP:0000001;HP:0025032;HP:0005214;HP:0002242;HP:0012718;HP:0025033;HP:0004796","Mechanical ileus"
"HP:0010677","HP:0010677;HP:0000805;HP:0000009;HP:0000014;HP:0010936;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Enuresis nocturna"
"HP:0010678","HP:0010678;HP:0000805;HP:0000009;HP:0000014;HP:0010936;HP:0000079;HP:0000119;HP:0000118;HP:0000001","Enuresis diurna"
"HP:0010679","HP:0010679;HP:0003155;HP:0004379;HP:0012379;HP:0001939;HP:0000118;HP:0000001","Elevated tissue non-specific alkaline phosphatase"
"HP:0010680","HP:0010680;HP:0010679;HP:0003155;HP:0004379;HP:0012379;HP:0001939;HP:0000118;HP:0000001;HP:0012211;HP:0000077;HP:0010935;HP:0000079;HP:0000119;HP:0011277","Elevated alkaline phosphatase of renal origin"
"HP:0010681","HP:0010681;HP:0003155;HP:0004379;HP:0012379;HP:0001939;HP:0000118;HP:0000001","Elevated intestinal alkaline phosphatase"
"HP:0010682","HP:0010682;HP:0003155;HP:0004379;HP:0012379;HP:0001939;HP:0000118;HP:0000001","Elevated placental alkaline phosphatase"
"HP:0010683","HP:0010683;HP:0003282;HP:0004379;HP:0012379;HP:0001939;HP:0000118;HP:0000001","Low tissue non-specific alkaline phosphatase"
"HP:0010684","HP:0010684;HP:0010683;HP:0003282;HP:0004379;HP:0012379;HP:0001939;HP:0000118;HP:0000001","Low alkaline phosphatase of bone origin"
"HP:0010685","HP:0010685;HP:0010683;HP:0003282;HP:0004379;HP:0012379;HP:0001939;HP:0000118;HP:0000001;HP:0012211;HP:0000077;HP:0010935;HP:0000079;HP:0000119;HP:0011277","Low alkaline phosphatase of renal origin"
"HP:0010686","HP:0010686;HP:0010683;HP:0003282;HP:0004379;HP:0012379;HP:0001939;HP:0000118;HP:0000001","Low alkaline phosphatase of hepatic origin"
"HP:0010687","HP:0010687;HP:0003282;HP:0004379;HP:0012379;HP:0001939;HP:0000118;HP:0000001","Low intestinal alkaline phosphatase"
"HP:0010688","HP:0010688;HP:0003282;HP:0004379;HP:0012379;HP:0001939;HP:0000118;HP:0000001","Low placental alkaline phosphatase"
"HP:0010689","HP:0010689;HP:0010442;HP:0011297;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0000118;HP:0000001;HP:0040068;HP:0040064","Mirror image polydactyly"
"HP:0010690","HP:0010690;HP:0001161;HP:0009997;HP:0004275;HP:0001155;HP:0002817;HP:0040064;HP:0000118;HP:0000001;HP:0009142;HP:0005918;HP:0001167;HP:0011297;HP:0002813;HP:0011844;HP:0011842;HP:0000924;HP:0040068;HP:0010442;HP:0010689","Mirror image hand polydactyly"
